position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
LF,L,T. Soderstrom,Brandon Sproat,R,5,MIL,ATH,home,6.0,
CF,R,Henry Bolte,Brandon Sproat,R,6,MIL,ATH,home,6.0,
SS,R,Max Muncy,Brandon Sproat,R,7,MIL,ATH,home,6.0,
2B,L,Jeff McNeil,Brandon Sproat,R,8,MIL,ATH,home,6.0,
3B,R,Zack Gelof,Brandon Sproat,R,9,MIL,ATH,home,6.0,
2B,R,Jose Altuve,Reid Detmers,L,1,HOU,LAA,away,6.0,
SS,R,Jeremy Pena,Reid Detmers,L,2,HOU,LAA,away,6.0,
DH,L,Y. Alvarez,Reid Detmers,L,3,HOU,LAA,away,6.0,
3B,R,I. Paredes,Reid Detmers,L,4,HOU,LAA,away,6.0,
1B,R,C. Walker,Reid Detmers,L,5,HOU,LAA,away,6.0,
CF,R,Jake Meyers,Reid Detmers,L,6,HOU,LAA,away,6.0,
RF,R,Cam Smith,Reid Detmers,L,7,HOU,LAA,away,6.0,
LF,R,B. Matthews,Reid Detmers,L,8,HOU,LAA,away,6.0,
C,R,C. Vazquez,Reid Detmers,L,9,HOU,LAA,away,6.0,
SS,R,Zach Neto,Peter Lambert,R,1,HOU,LAA,home,6.0,
CF,R,Mike Trout,Peter Lambert,R,2,HOU,LAA,home,6.0,
LF,L,Wade Meckler,Peter Lambert,R,3,HOU,LAA,home,6.0,
2B,R,O. Peraza,Peter Lambert,R,4,HOU,LAA,home,6.0,
1B,L,N. Schanuel,Peter Lambert,R,5,HOU,LAA,home,6.0,
RF,R,Jo Adell,Peter Lambert,R,6,HOU,LAA,home,6.0,
3B,R,D. Guzman,Peter Lambert,R,7,HOU,LAA,home,6.0,
DH,R,N. Madrigal,Peter Lambert,R,8,HOU,LAA,home,6.0,
C,R,L. O'Hoppe,Peter Lambert,R,9,HOU,LAA,home,6.0,
DH,L,Liam Hicks,Zack Wheeler,R,1,MIA,PHI,away,0.0,
SS,R,Otto Lopez,Zack Wheeler,R,2,MIA,PHI,away,0.0,
1B,L,Kyle Stowers,Zack Wheeler,R,3,MIA,PHI,away,0.0,
2B,S,X. Edwards,Zack Wheeler,R,4,MIA,PHI,away,0.0,
LF,R,H. Hernandez,Zack Wheeler,R,5,MIA,PHI,away,0.0,
RF,L,Owen Caissie,Zack Wheeler,R,6,MIA,PHI,away,0.0,
CF,L,Jakob Marsee,Zack Wheeler,R,7,MIA,PHI,away,0.0,
C,L,Joe Mack,Zack Wheeler,R,8,MIA,PHI,away,0.0,
3B,R,J. Sanoja,Zack Wheeler,R,9,MIA,PHI,away,0.0,
DH,L,K. Schwarber,Ryan Gusto,R,1,MIA,PHI,home,0.0,
SS,R,Trea Turner,Ryan Gusto,R,2,MIA,PHI,home,0.0,
1B,L,Bryce Harper,Ryan Gusto,R,3,MIA,PHI,home,0.0,
LF,L,B. Marsh,Ryan Gusto,R,4,MIA,PHI,home,0.0,
2B,L,Bryson Stott,Ryan Gusto,R,5,MIA,PHI,home,0.0,
C,R,J. Realmuto,Ryan Gusto,R,6,MIA,PHI,home,0.0,
RF,L,G. Rincones,Ryan Gusto,R,7,MIA,PHI,home,0.0,
CF,L,J. Crawford,Ryan Gusto,R,8,MIA,PHI,home,0.0,
3B,R,Edmundo Sosa,Ryan Gusto,R,9,MIA,PHI,home,0.0,
CF,R,Lane Thomas,Andrew Alvarez,L,1,KC,WSH,away,0.0,
SS,R,Bobby Witt,Andrew Alvarez,L,2,KC,WSH,away,0.0,
RF,L,J. Caglianone,Andrew Alvarez,L,3,KC,WSH,away,0.0,
3B,R,M. Garcia,Andrew Alvarez,L,4,KC,WSH,away,0.0,
DH,R,S. Marte,Andrew Alvarez,L,5,KC,WSH,away,0.0,
1B,R,S. Perez,Andrew Alvarez,L,6,KC,WSH,away,0.0,
2B,R,Nick Loftin,Andrew Alvarez,L,7,KC,WSH,away,0.0,
C,L,C. Jensen,Andrew Alvarez,L,8,KC,WSH,away,0.0,
