position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
DH,L,Y. Alvarez,Enmanuel De Jesus,L,2,DET,HOU,home,2.0,
1B,R,C. Walker,Enmanuel De Jesus,L,3,DET,HOU,home,2.0,
3B,R,I. Paredes,Enmanuel De Jesus,L,4,DET,HOU,home,2.0,
2B,R,Jose Altuve,Enmanuel De Jesus,L,5,DET,HOU,home,2.0,
LF,L,T. Trammell,Enmanuel De Jesus,L,6,DET,HOU,home,2.0,
RF,R,Cam Smith,Enmanuel De Jesus,L,7,DET,HOU,home,2.0,
CF,R,B. Matthews,Enmanuel De Jesus,L,8,DET,HOU,home,2.0,
C,R,C. Vazquez,Enmanuel De Jesus,L,9,DET,HOU,home,2.0,
1B,L,S. Horwitz,J.T. Ginn,R,1,PIT,ATH,away,3.0,
2B,L,Brandon Lowe,J.T. Ginn,R,2,PIT,ATH,away,3.0,
LF,S,B. Reynolds,J.T. Ginn,R,3,PIT,ATH,away,3.0,
DH,L,Ryan O'Hearn,J.T. Ginn,R,4,PIT,ATH,away,3.0,
3B,R,N. Gonzales,J.T. Ginn,R,5,PIT,ATH,away,3.0,
RF,L,T. Callihan,J.T. Ginn,R,6,PIT,ATH,away,3.0,
C,S,E. Rodriguez,J.T. Ginn,R,7,PIT,ATH,away,3.0,
CF,S,Jake Mangum,J.T. Ginn,R,8,PIT,ATH,away,3.0,
SS,R,Jared Triolo,J.T. Ginn,R,9,PIT,ATH,away,3.0,
1B,L,Nick Kurtz,Jared Jones,R,1,PIT,ATH,home,3.0,
C,R,S. Langeliers,Jared Jones,R,2,PIT,ATH,home,3.0,
LF,L,T. Soderstrom,Jared Jones,R,3,PIT,ATH,home,3.0,
SS,R,Jacob Wilson,Jared Jones,R,4,PIT,ATH,home,3.0,
DH,L,C. Cortes,Jared Jones,R,5,PIT,ATH,home,3.0,
3B,R,Zack Gelof,Jared Jones,R,6,PIT,ATH,home,3.0,
RF,L,L. Butler,Jared Jones,R,7,PIT,ATH,home,3.0,
CF,R,Henry Bolte,Jared Jones,R,8,PIT,ATH,home,3.0,
2B,L,Jeff McNeil,Jared Jones,R,9,PIT,ATH,home,3.0,
SS,R,Zach Neto,Ryne Nelson,R,1,LAA,ARI,away,3.0,
CF,R,Mike Trout,Ryne Nelson,R,2,LAA,ARI,away,3.0,
LF,L,Wade Meckler,Ryne Nelson,R,3,LAA,ARI,away,3.0,
RF,R,Jo Adell,Ryne Nelson,R,4,LAA,ARI,away,3.0,
1B,L,N. Schanuel,Ryne Nelson,R,5,LAA,ARI,away,3.0,
3B,R,D. Guzman,Ryne Nelson,R,6,LAA,ARI,away,3.0,
C,R,L. O'Hoppe,Ryne Nelson,R,7,LAA,ARI,away,3.0,
DH,L,D. Walton,Ryne Nelson,R,8,LAA,ARI,away,3.0,
2B,R,O. Peraza,Ryne Nelson,R,9,LAA,ARI,away,3.0,
2B,S,Ketel Marte,Walbert Urena,R,1,LAA,ARI,home,3.0,
SS,S,G. Perdomo,Walbert Urena,R,2,LAA,ARI,home,3.0,
RF,L,C. Carroll,Walbert Urena,R,3,LAA,ARI,home,3.0,
C,R,G. Moreno,Walbert Urena,R,4,LAA,ARI,home,3.0,
DH,R,L. Gurriel,Walbert Urena,R,5,LAA,ARI,home,3.0,
3B,R,N. Arenado,Walbert Urena,R,6,LAA,ARI,home,3.0,
CF,R,J. Lawlar,Walbert Urena,R,7,LAA,ARI,home,3.0,
1B,L,Pavin Smith,Walbert Urena,R,8,LAA,ARI,home,3.0,
LF,R,Tommy Troy,Walbert Urena,R,9,LAA,ARI,home,3.0,
DH,R,Yandy Diaz,Eric Lauer,L,1,TB,LAD,away,4.0,
1B,L,J. Aranda,Eric Lauer,L,2,TB,LAD,away,4.0,
3B,R,J. Caminero,Eric Lauer,L,3,TB,LAD,away,4.0,
LF,R,Ryan Vilade,Eric Lauer,L,4,TB,LAD,away,4.0,
RF,R,A. Slater,Eric Lauer,L,5,TB,LAD,away,4.0,
2B,R,B. Williamson,Eric Lauer,L,6,TB,LAD,away,4.0,
C,R,Nick Fortes,Eric Lauer,L,7,TB,LAD,away,4.0,
CF,L,C. Mullins,Eric Lauer,L,8,TB,LAD,away,4.0,
SS,S,Taylor Walls,Eric Lauer,L,9,TB,LAD,away,4.0,
DH,L,S. Ohtani,Nick Martinez,R,1,TB,LAD,home,4.0,
CF,R,Andy Pages,Nick Martinez,R,2,TB,LAD,home,4.0,
1B,L,F. Freeman,Nick Martinez,R,3,TB,LAD,home,4.0,
SS,R,Mookie Betts,Nick Martinez,R,4,TB,LAD,home,4.0,
3B,L,Max Muncy,Nick Martinez,R,5,TB,LAD,home,4.0,
RF,L,Kyle Tucker,Nick Martinez,R,6,TB,LAD,home,4.0,
LF,L,Ryan Ward,Nick Martinez,R,7,TB,LAD,home,4.0,
C,L,D. Rushing,Nick Martinez,R,8,TB,LAD,home,4.0,
2B,S,A. Freeland,Nick Martinez,R,9,TB,LAD,home,4.0,
2B,S,X. Edwards,Jesus Luzardo,L,1,MIA,PHI,away,0.0,
SS,R,Otto Lopez,Jesus Luzardo,L,2,MIA,PHI,away,0.0,
C,L,Liam Hicks,Jesus Luzardo,L,3,MIA,PHI,away,0.0,
RF,R,H. Hernandez,Jesus Luzardo,L,4,MIA,PHI,away,0.0,
3B,R,J. Sanoja,Jesus Luzardo,L,5,MIA,PHI,away,0.0,
DH,R,Leo Jimenez,Jesus Luzardo,L,6,MIA,PHI,away,0.0,
LF,R,Esteury Ruiz,Jesus Luzardo,L,7,MIA,PHI,away,0.0,
CF,L,Jakob Marsee,Jesus Luzardo,L,8,MIA,PHI,away,0.0,
1B,R,Connor Norby,Jesus Luzardo,L,9,MIA,PHI,away,0.0,
LF,L,B. Marsh,Tyler Phillips,R,1,MIA,PHI,home,0.0,
1B,L,K. Schwarber,Tyler Phillips,R,2,MIA,PHI,home,0.0,
DH,L,Bryce Harper,Tyler Phillips,R,3,MIA,PHI,home,0.0,
3B,R,Alec Bohm,Tyler Phillips,R,4,MIA,PHI,home,0.0,
2B,L,Bryson Stott,Tyler Phillips,R,5,MIA,PHI,home,0.0,
C,R,J. Realmuto,Tyler Phillips,R,6,MIA,PHI,home,0.0,
RF,L,G. Rincones,Tyler Phillips,R,7,MIA,PHI,home,0.0,
CF,L,J. Crawford,Tyler Phillips,R,8,MIA,PHI,home,0.0,
SS,R,Edmundo Sosa,Tyler Phillips,R,9,MIA,PHI,home,0.0,
DH,R,G. Springer,Payton Tolle,L,1,TOR,BOS,away,0.0,
2B,R,E. Clement,Payton Tolle,L,2,TOR,BOS,away,0.0,
1B,R,V. Guerrero,Payton Tolle,L,3,TOR,BOS,away,0.0,
C,R,A. Kirk,Payton Tolle,L,4,TOR,BOS,away,0.0,
3B,R,K. Okamoto,Payton Tolle,L,5,TOR,BOS,away,0.0,
RF,L,Nathan Lukes,Payton Tolle,L,6,TOR,BOS,away,0.0,
LF,R,D. Schneider,Payton Tolle,L,7,TOR,BOS,away,0.0,
SS,L,A. Gimenez,Payton Tolle,L,8,TOR,BOS,away,0.0,
CF,R,Myles Straw,Payton Tolle,L,9,TOR,BOS,away,0.0,
DH,L,M. Yoshida,Dylan Cease,R,1,TOR,BOS,home,0.0,
CF,R,C. Rafaela,Dylan Cease,R,2,TOR,BOS,home,0.0,
RF,L,Wilyer Abreu,Dylan Cease,R,3,TOR,BOS,home,0.0,
1B,R,W. Contreras,Dylan Cease,R,4,TOR,BOS,home,0.0,
LF,L,Jarren Duran,Dylan Cease,R,5,TOR,BOS,home,0.0,
3B,R,Caleb Durbin,Dylan Cease,R,6,TOR,BOS,home,0.0,
2B,R,I. Kiner-Falefa,Dylan Cease,R,7,TOR,BOS,home,0.0,
SS,L,M. Mayer,Dylan Cease,R,8,TOR,BOS,home,0.0,
C,R,Connor Wong,Dylan Cease,R,9,TOR,BOS,home,0.0,
RF,R,Lane Thomas,Foster Griffin,L,1,KC,WSH,away,0.0,
SS,R,Bobby Witt,Foster Griffin,L,2,KC,WSH,away,0.0,
1B,L,J. Caglianone,Foster Griffin,L,3,KC,WSH,away,0.0,
3B,R,M. Garcia,Foster Griffin,L,4,KC,WSH,away,0.0,
DH,R,S. Marte,Foster Griffin,L,5,KC,WSH,away,0.0,
C,R,S. Perez,Foster Griffin,L,6,KC,WSH,away,0.0,
2B,R,Nick Loftin,Foster Griffin,L,7,KC,WSH,away,0.0,
LF,R,T. Tolbert,Foster Griffin,L,8,KC,WSH,away,0.0,
CF,L,K. Misner,Foster Griffin,L,9,KC,WSH,away,0.0,
RF,L,James Wood,Michael Wacha,R,1,KC,WSH,home,0.0,
1B,L,Luis Garcia,Michael Wacha,R,2,KC,WSH,home,0.0,
3B,R,Curtis Mead,Michael Wacha,R,3,KC,WSH,home,0.0,
SS,L,CJ Abrams,Michael Wacha,R,4,KC,WSH,home,0.0,
LF,R,Dylan Crews,Michael Wacha,R,5,KC,WSH,home,0.0,
DH,L,Daylen Lile,Michael Wacha,R,6,KC,WSH,home,0.0,
CF,R,Jacob Young,Michael Wacha,R,7,KC,WSH,home,0.0,
C,S,Drew Millas,Michael Wacha,R,8,KC,WSH,home,0.0,
2B,S,Nasim Nunez,Michael Wacha,R,9,KC,WSH,home,0.0,
LF,L,S. Antonacci,Gerrit Cole,R,1,CWS,NYY,away,1.0,
3B,R,M. Vargas,Gerrit Cole,R,2,CWS,NYY,away,1.0,
DH,L,A. Benintendi,Gerrit Cole,R,3,CWS,NYY,away,1.0,
SS,L,C. Montgomery,Gerrit Cole,R,4,CWS,NYY,away,1.0,
RF,S,B. Montgomery,Gerrit Cole,R,5,CWS,NYY,away,1.0,
2B,R,C. Meidroth,Gerrit Cole,R,6,CWS,NYY,away,1.0,
1B,L,J. Gonzalez,Gerrit Cole,R,7,CWS,NYY,away,1.0,
CF,L,T. Peters,Gerrit Cole,R,8,CWS,NYY,away,1.0,
C,S,Drew Romo,Gerrit Cole,R,9,CWS,NYY,away,1.0,
1B,L,Ben Rice,Davis Martin,R,1,CWS,NYY,home,1.0,
LF,L,C. Bellinger,Davis Martin,R,2,CWS,NYY,home,1.0,
DH,R,P. Goldschmidt,Davis Martin,R,3,CWS,NYY,home,1.0,
2B,L,J. Chisholm,Davis Martin,R,4,CWS,NYY,home,1.0,
CF,L,S. Jones,Davis Martin,R,5,CWS,NYY,home,1.0,
RF,R,J. Caballero,Davis Martin,R,6,CWS,NYY,home,1.0,
3B,L,Ryan McMahon,Davis Martin,R,7,CWS,NYY,home,1.0,
C,L,J.C. Escarra,Davis Martin,R,8,CWS,NYY,home,1.0,
SS,R,A. Volpe,Davis Martin,R,9,CWS,NYY,home,1.0,
RF,L,Carson Benge,Brady Singer,R,1,NYM,CIN,away,1.0,
SS,R,Bo Bichette,Brady Singer,R,2,NYM,CIN,away,1.0,
LF,L,Juan Soto,Brady Singer,R,3,NYM,CIN,away,1.0,
1B,L,Jared Young,Brady Singer,R,4,NYM,CIN,away,1.0,
CF,L,A.J. Ewing,Brady Singer,R,5,NYM,CIN,away,1.0,
2B,R,M. Semien,Brady Singer,R,6,NYM,CIN,away,1.0,
3B,L,Brett Baty,Brady Singer,R,7,NYM,CIN,away,1.0,
DH,L,MJ Melendez,Brady Singer,R,8,NYM,CIN,away,1.0,
C,R,F. Alvarez,Brady Singer,R,9,NYM,CIN,away,1.0,
CF,R,Blake Dunn,Kodai Senga,R,1,NYM,CIN,home,1.0,
LF,L,JJ Bleday,Kodai Senga,R,2,NYM,CIN,home,1.0,
1B,R,Sal Stewart,Kodai Senga,R,3,NYM,CIN,home,1.0,
DH,L,N. Lowe,Kodai Senga,R,4,NYM,CIN,home,1.0,
3B,R,E. Suarez,Kodai Senga,R,5,NYM,CIN,home,1.0,
RF,R,S. Steer,Kodai Senga,R,6,NYM,CIN,home,1.0,
C,R,T. Stephenson,Kodai Senga,R,7,NYM,CIN,home,1.0,
SS,R,Matt McLain,Kodai Senga,R,8,NYM,CIN,home,1.0,
2B,S,Edwin Arroyo,Kodai Senga,R,9,NYM,CIN,home,1.0,
2B,L,Luis Arraez,Grant Holmes,R,1,SF,ATL,away,1.0,
DH,L,B. Eldridge,Grant Holmes,R,2,SF,ATL,away,1.0,
3B,R,Matt Chapman,Grant Holmes,R,3,SF,ATL,away,1.0,
1B,L,R. Devers,Grant Holmes,R,4,SF,ATL,away,1.0,
RF,L,Jung Hoo Lee,Grant Holmes,R,5,SF,ATL,away,1.0,
SS,R,Willy Adames,Grant Holmes,R,6,SF,ATL,away,1.0,
LF,R,C. Schmitt,Grant Holmes,R,7,SF,ATL,away,1.0,
CF,L,Drew Gilbert,Grant Holmes,R,8,SF,ATL,away,1.0,
C,R,Daniel Susac,Grant Holmes,R,9,SF,ATL,away,1.0,
C,L,D. Baldwin,Adrian Houser,R,1,SF,ATL,home,1.0,
CF,L,M. Harris,Adrian Houser,R,2,SF,ATL,home,1.0,
1B,L,Matt Olson,Adrian Houser,R,3,SF,ATL,home,1.0,
2B,S,Ozzie Albies,Adrian Houser,R,4,SF,ATL,home,1.0,
DH,L,D. Smith,Adrian Houser,R,5,SF,ATL,home,1.0,
LF,R,M. Dubon,Adrian Houser,R,6,SF,ATL,home,1.0,
3B,R,Austin Riley,Adrian Houser,R,7,SF,ATL,home,1.0,
RF,L,M. Yastrzemski,Adrian Houser,R,8,SF,ATL,home,1.0,
SS,R,Ha-Seong Kim,Adrian Houser,R,9,SF,ATL,home,1.0,
2B,L,T. Bazzana,Robert Gasser,L,1,CLE,MIL,away,1.0,
SS,S,B. Rocchio,Robert Gasser,L,2,CLE,MIL,away,1.0,
DH,R,Rhys Hoskins,Robert Gasser,L,3,CLE,MIL,away,1.0,
RF,R,David Fry,Robert Gasser,L,4,CLE,MIL,away,1.0,
1B,L,K. Manzardo,Robert Gasser,L,5,CLE,MIL,away,1.0,
CF,R,S. Fairchild,Robert Gasser,L,6,CLE,MIL,away,1.0,
LF,L,Steven Kwan,Robert Gasser,L,7,CLE,MIL,away,1.0,
3B,R,G. Arias,Robert Gasser,L,8,CLE,MIL,away,1.0,
C,R,A. Hedges,Robert Gasser,L,9,CLE,MIL,away,1.0,
DH,L,C. Yelich,Slade Cecconi,R,1,CLE,MIL,home,1.0,
LF,R,J. Chourio,Slade Cecconi,R,2,CLE,MIL,home,1.0,
2B,L,Brice Turang,Slade Cecconi,R,3,CLE,MIL,home,1.0,
C,R,W. Contreras,Slade Cecconi,R,4,CLE,MIL,home,1.0,
RF,L,Jake Bauers,Slade Cecconi,R,5,CLE,MIL,home,1.0,
1B,R,A. Vaughn,Slade Cecconi,R,6,CLE,MIL,home,1.0,
CF,L,G. Mitchell,Slade Cecconi,R,7,CLE,MIL,home,1.0,
SS,R,Cooper Pratt,Slade Cecconi,R,8,CLE,MIL,home,1.0,
3B,L,D. Hamilton,Slade Cecconi,R,9,CLE,MIL,home,1.0,
2B,R,F. Tatis,Andre Pallante,R,1,SD,STL,away,1.0,
CF,L,J. Merrill,Andre Pallante,R,2,SD,STL,away,1.0,
3B,R,M. Machado,Andre Pallante,R,3,SD,STL,away,1.0,
SS,R,X. Bogaerts,Andre Pallante,R,4,SD,STL,away,1.0,
LF,L,Gavin Sheets,Andre Pallante,R,5,SD,STL,away,1.0,
RF,R,Samad Taylor,Andre Pallante,R,6,SD,STL,away,1.0,
1B,R,Ty France,Andre Pallante,R,7,SD,STL,away,1.0,
DH,L,Will Wagner,Andre Pallante,R,8,SD,STL,away,1.0,
C,R,R. Duran,Andre Pallante,R,9,SD,STL,away,1.0,
2B,L,J. Wetherholt,Michael King,R,1,SD,STL,home,1.0,
C,R,Ivan Herrera,Michael King,R,2,SD,STL,home,1.0,
1B,L,A. Burleson,Michael King,R,3,SD,STL,home,1.0,
RF,R,J. Walker,Michael King,R,4,SD,STL,home,1.0,
LF,L,L. Nootbaar,Michael King,R,5,SD,STL,home,1.0,
SS,R,Masyn Winn,Michael King,R,6,SD,STL,home,1.0,
DH,L,Jimmy Crooks,Michael King,R,7,SD,STL,home,1.0,
3B,R,Blaze Jordan,Michael King,R,8,SD,STL,home,1.0,
CF,L,N. Church,Michael King,R,9,SD,STL,home,1.0,
LF,L,T. Larnach,Kumar Rocker,R,1,MIN,TEX,away,2.0,
CF,R,Byron Buxton,Kumar Rocker,R,2,MIN,TEX,away,2.0,
RF,L,Kody Clemens,Kumar Rocker,R,3,MIN,TEX,away,2.0,
1B,R,Royce Lewis,Kumar Rocker,R,4,MIN,TEX,away,2.0,
DH,S,Josh Bell,Kumar Rocker,R,5,MIN,TEX,away,2.0,
3B,S,Brooks Lee,Kumar Rocker,R,6,MIN,TEX,away,2.0,
2B,R,L. Keaschall,Kumar Rocker,R,7,MIN,TEX,away,2.0,
SS,L,Tristan Gray,Kumar Rocker,R,8,MIN,TEX,away,2.0,
C,R,Alex Jackson,Kumar Rocker,R,9,MIN,TEX,away,2.0,
DH,L,Joc Pederson,Zebby Matthews,R,1,MIN,TEX,home,2.0,
3B,R,Josh Jung,Zebby Matthews,R,2,MIN,TEX,home,2.0,
LF,R,W. Langford,Zebby Matthews,R,3,MIN,TEX,home,2.0,
RF,L,B. Nimmo,Zebby Matthews,R,4,MIN,TEX,home,2.0,
SS,R,E. Duran,Zebby Matthews,R,5,MIN,TEX,home,2.0,
1B,R,Jake Burger,Zebby Matthews,R,6,MIN,TEX,home,2.0,
2B,L,Josh Smith,Zebby Matthews,R,7,MIN,TEX,home,2.0,
CF,L,A. Osuna,Zebby Matthews,R,8,MIN,TEX,home,2.0,
C,R,Elias Diaz,Zebby Matthews,R,9,MIN,TEX,home,2.0,
RF,L,J. McCarthy,Edward Cabrera,R,1,COL,CHC,away,2.0,
3B,S,Willi Castro,Edward Cabrera,R,2,COL,CHC,away,2.0,
1B,L,TJ Rumfield,Edward Cabrera,R,3,COL,CHC,away,2.0,
DH,R,H. Goodman,Edward Cabrera,R,4,COL,CHC,away,2.0,
LF,L,T. Johnston,Edward Cabrera,R,5,COL,CHC,away,2.0,
CF,S,Cole Carrigg,Edward Cabrera,R,6,COL,CHC,away,2.0,
C,L,B. Sullivan,Edward Cabrera,R,7,COL,CHC,away,2.0,
SS,R,E. Tovar,Edward Cabrera,R,8,COL,CHC,away,2.0,
2B,L,E. Julien,Edward Cabrera,R,9,COL,CHC,away,2.0,
CF,L,P. Crow-Armstrong,Ryan Feltner,R,1,COL,CHC,home,2.0,
3B,R,Alex Bregman,Ryan Feltner,R,2,COL,CHC,home,2.0,
1B,L,M. Busch,Ryan Feltner,R,3,COL,CHC,home,2.0,
DH,R,Seiya Suzuki,Ryan Feltner,R,4,COL,CHC,home,2.0,
LF,S,Ian Happ,Ryan Feltner,R,5,COL,CHC,home,2.0,
2B,R,Nico Hoerner,Ryan Feltner,R,6,COL,CHC,home,2.0,
RF,R,Matt Shaw,Ryan Feltner,R,7,COL,CHC,home,2.0,
C,R,Miguel Amaya,Ryan Feltner,R,8,COL,CHC,home,2.0,
SS,R,D. Swanson,Ryan Feltner,R,9,COL,CHC,home,2.0,
3B,L,K. McGonigle,Hunter Brown,R,1,DET,HOU,away,2.0,
C,R,D. Dingler,Hunter Brown,R,2,DET,HOU,away,2.0,
RF,L,K. Carpenter,Hunter Brown,R,3,DET,HOU,away,2.0,
LF,L,Riley Greene,Hunter Brown,R,4,DET,HOU,away,2.0,
1B,R,S. Torkelson,Hunter Brown,R,5,DET,HOU,away,2.0,
DH,L,Colt Keith,Hunter Brown,R,6,DET,HOU,away,2.0,
SS,L,Z. McKinstry,Hunter Brown,R,7,DET,HOU,away,2.0,
2B,R,Hao-Yu Lee,Hunter Brown,R,8,DET,HOU,away,2.0,
CF,L,James Outman,Hunter Brown,R,9,DET,HOU,away,2.0,
SS,R,Jeremy Pena,Framber Valdez,L,1,DET,HOU,home,2.0,
LF,L,Y. Alvarez,Framber Valdez,L,2,DET,HOU,home,2.0,
DH,R,C. Walker,Framber Valdez,L,3,DET,HOU,home,2.0,
1B,R,I. Paredes,Framber Valdez,L,4,DET,HOU,home,2.0,
2B,R,Jose Altuve,Framber Valdez,L,5,DET,HOU,home,2.0,
C,R,Yainer Diaz,Framber Valdez,L,6,DET,HOU,home,2.0,
RF,R,Cam Smith,Framber Valdez,L,7,DET,HOU,home,2.0,
CF,R,B. Matthews,Framber Valdez,L,8,DET,HOU,home,2.0,
3B,L,R. Delgado,Framber Valdez,L,9,DET,HOU,home,2.0,
1B,L,S. Horwitz,Jack Perkins,R,1,PIT,ATH,away,3.0,
2B,L,Brandon Lowe,Jack Perkins,R,2,PIT,ATH,away,3.0,
LF,S,B. Reynolds,Jack Perkins,R,3,PIT,ATH,away,3.0,
DH,L,Ryan O'Hearn,Jack Perkins,R,4,PIT,ATH,away,3.0,
3B,R,N. Gonzales,Jack Perkins,R,5,PIT,ATH,away,3.0,
RF,L,T. Callihan,Jack Perkins,R,6,PIT,ATH,away,3.0,
C,S,E. Rodriguez,Jack Perkins,R,7,PIT,ATH,away,3.0,
CF,S,Jake Mangum,Jack Perkins,R,8,PIT,ATH,away,3.0,
SS,R,Jared Triolo,Jack Perkins,R,9,PIT,ATH,away,3.0,
1B,L,Nick Kurtz,Mitch Keller,R,1,PIT,ATH,home,3.0,
C,R,S. Langeliers,Mitch Keller,R,2,PIT,ATH,home,3.0,
LF,L,T. Soderstrom,Mitch Keller,R,3,PIT,ATH,home,3.0,
SS,R,Jacob Wilson,Mitch Keller,R,4,PIT,ATH,home,3.0,
DH,L,C. Cortes,Mitch Keller,R,5,PIT,ATH,home,3.0,
3B,R,Zack Gelof,Mitch Keller,R,6,PIT,ATH,home,3.0,
RF,L,L. Butler,Mitch Keller,R,7,PIT,ATH,home,3.0,
CF,R,Henry Bolte,Mitch Keller,R,8,PIT,ATH,home,3.0,
2B,L,Jeff McNeil,Mitch Keller,R,9,PIT,ATH,home,3.0,
LF,R,Taylor Ward,Logan Gilbert,R,1,BAL,SEA,away,3.0,
SS,L,G. Henderson,Logan Gilbert,R,2,BAL,SEA,away,3.0,
C,S,A. Rutschman,Logan Gilbert,R,3,BAL,SEA,away,3.0,
1B,R,Pete Alonso,Logan Gilbert,R,4,BAL,SEA,away,3.0,
DH,L,S. Basallo,Logan Gilbert,R,5,BAL,SEA,away,3.0,
3B,R,Coby Mayo,Logan Gilbert,R,6,BAL,SEA,away,3.0,
CF,L,C. Cowser,Logan Gilbert,R,7,BAL,SEA,away,3.0,
RF,S,L. Taveras,Logan Gilbert,R,8,BAL,SEA,away,3.0,
2B,L,J. Holliday,Logan Gilbert,R,9,BAL,SEA,away,3.0,
3B,L,J. Crawford,Brandon Young,R,1,BAL,SEA,home,3.0,
CF,R,J. Rodriguez,Brandon Young,R,2,BAL,SEA,home,3.0,
1B,L,Josh Naylor,Brandon Young,R,3,BAL,SEA,home,3.0,
C,S,Cal Raleigh,Brandon Young,R,4,BAL,SEA,home,3.0,
LF,R,R. Arozarena,Brandon Young,R,5,BAL,SEA,home,3.0,
RF,L,Luke Raley,Brandon Young,R,6,BAL,SEA,home,3.0,
2B,L,Cole Young,Brandon Young,R,7,BAL,SEA,home,3.0,
DH,L,D. Canzone,Brandon Young,R,8,BAL,SEA,home,3.0,
SS,L,Colt Emerson,Brandon Young,R,9,BAL,SEA,home,3.0,
SS,R,Zach Neto,Merrill Kelly,R,1,LAA,ARI,away,3.0,
CF,R,Mike Trout,Merrill Kelly,R,2,LAA,ARI,away,3.0,
1B,L,N. Schanuel,Merrill Kelly,R,3,LAA,ARI,away,3.0,
RF,R,Jo Adell,Merrill Kelly,R,4,LAA,ARI,away,3.0,
2B,R,N. Madrigal,Merrill Kelly,R,5,LAA,ARI,away,3.0,
LF,L,Wade Meckler,Merrill Kelly,R,6,LAA,ARI,away,3.0,
3B,R,D. Guzman,Merrill Kelly,R,7,LAA,ARI,away,3.0,
C,R,L. O'Hoppe,Merrill Kelly,R,8,LAA,ARI,away,3.0,
DH,L,D. Walton,Merrill Kelly,R,9,LAA,ARI,away,3.0,
2B,S,Ketel Marte,Reid Detmers,L,1,LAA,ARI,home,3.0,
SS,S,G. Perdomo,Reid Detmers,L,2,LAA,ARI,home,3.0,
RF,L,C. Carroll,Reid Detmers,L,3,LAA,ARI,home,3.0,
LF,R,L. Gurriel,Reid Detmers,L,4,LAA,ARI,home,3.0,
3B,R,N. Arenado,Reid Detmers,L,5,LAA,ARI,home,3.0,
1B,S,I. Vargas,Reid Detmers,L,6,LAA,ARI,home,3.0,
CF,R,J. Lawlar,Reid Detmers,L,7,LAA,ARI,home,3.0,
C,L,A. Del Castillo,Reid Detmers,L,8,LAA,ARI,home,3.0,
DH,R,L. Groover,Reid Detmers,L,9,LAA,ARI,home,3.0,
DH,R,Yandy Diaz,Justin Wrobleski,L,1,TB,LAD,away,4.0,
1B,L,J. Aranda,Justin Wrobleski,L,2,TB,LAD,away,4.0,
3B,R,J. Caminero,Justin Wrobleski,L,3,TB,LAD,away,4.0,
LF,R,Ryan Vilade,Justin Wrobleski,L,4,TB,LAD,away,4.0,
RF,R,A. Slater,Justin Wrobleski,L,5,TB,LAD,away,4.0,
2B,R,B. Williamson,Justin Wrobleski,L,6,TB,LAD,away,4.0,
C,R,Nick Fortes,Justin Wrobleski,L,7,TB,LAD,away,4.0,
CF,L,C. Mullins,Justin Wrobleski,L,8,TB,LAD,away,4.0,
SS,S,Taylor Walls,Justin Wrobleski,L,9,TB,LAD,away,4.0,
DH,L,S. Ohtani,Drew Rasmussen,R,1,TB,LAD,home,4.0,
CF,R,Andy Pages,Drew Rasmussen,R,2,TB,LAD,home,4.0,
1B,L,F. Freeman,Drew Rasmussen,R,3,TB,LAD,home,4.0,
SS,R,Mookie Betts,Drew Rasmussen,R,4,TB,LAD,home,4.0,
3B,L,Max Muncy,Drew Rasmussen,R,5,TB,LAD,home,4.0,
RF,L,Kyle Tucker,Drew Rasmussen,R,6,TB,LAD,home,4.0,
LF,L,Ryan Ward,Drew Rasmussen,R,7,TB,LAD,home,4.0,
2B,S,A. Freeland,Drew Rasmussen,R,8,TB,LAD,home,4.0,
C,R,C. Robinson,Drew Rasmussen,R,9,TB,LAD,home,4.0,
1B,R,M. Vargas,Tarik Skubal,L,1,CWS,DET,away,0.0,
DH,R,R. Grichuk,Tarik Skubal,L,2,CWS,DET,away,0.0,
2B,R,C. Meidroth,Tarik Skubal,L,3,CWS,DET,away,0.0,
3B,L,C. Montgomery,Tarik Skubal,L,4,CWS,DET,away,0.0,
C,S,Edgar Quero,Tarik Skubal,L,5,CWS,DET,away,0.0,
RF,R,Junior Perez,Tarik Skubal,L,6,CWS,DET,away,0.0,
LF,L,S. Antonacci,Tarik Skubal,L,7,CWS,DET,away,0.0,
SS,R,L. Acuna,Tarik Skubal,L,8,CWS,DET,away,0.0,
CF,L,T. Peters,Tarik Skubal,L,9,CWS,DET,away,0.0,
SS,L,K. McGonigle,Erick Fedde,R,1,CWS,DET,home,0.0,
C,R,D. Dingler,Erick Fedde,R,2,CWS,DET,home,0.0,
CF,R,M. Vierling,Erick Fedde,R,3,CWS,DET,home,0.0,
LF,L,Riley Greene,Erick Fedde,R,4,CWS,DET,home,0.0,
1B,R,S. Torkelson,Erick Fedde,R,5,CWS,DET,home,0.0,
DH,L,K. Carpenter,Erick Fedde,R,6,CWS,DET,home,0.0,
2B,R,Hao-Yu Lee,Erick Fedde,R,7,CWS,DET,home,0.0,
3B,L,Colt Keith,Erick Fedde,R,8,CWS,DET,home,0.0,
RF,S,Trei Cruz,Erick Fedde,R,9,CWS,DET,home,0.0,
CF,R,Blake Dunn,Cam Schlittler,R,1,CIN,NYY,away,0.0,
LF,L,JJ Bleday,Cam Schlittler,R,2,CIN,NYY,away,0.0,
1B,R,Sal Stewart,Cam Schlittler,R,3,CIN,NYY,away,0.0,
