diff_threshold,pred_hr_threshold,train_picks,train_win_rate,train_profit,train_roi,num_picks,win_rate,total_profit,roi,sum_profit,sum_picks,weight,both_roi,decision
0.075,0,307,77.52,-16.53,-0.54,441,78.91,84.27,1.91,67.74,748,75,0.905614973,
0.075,0.6,307,77.52,-16.53,-0.54,441,78.91,84.27,1.91,67.74,748,75,0.905614973,
0.06,0,546,79.85,68.66,1.26,813,79.46,54.38,0.67,123.04,1359,90,0.905371597,
0.06,0.6,546,79.85,68.66,1.26,813,79.46,54.38,0.67,123.04,1359,90,0.905371597,
0.05,0.78,644,82.92,48.92,0.76,950,83.26,95.15,1,144.07,1594,55,0.903826851,
0.035,0.84,597,85.76,-13.21,-0.22,844,87.32,142.89,1.69,129.68,1441,55,0.899930604,
0.055,0.78,430,82.79,38.97,0.91,640,82.97,57.17,0.89,96.14,1070,75,0.898504673,
0.045,0.78,789,83.78,112.06,1.42,1154,83.1,61.07,0.53,173.13,1943,65,0.891044776,
0.05,0.65,862,80.16,15.13,0.18,1279,81.08,175.62,1.37,190.75,2141,80,0.890938814,
0.07,0.65,429,78.32,-2.08,-0.05,593,79.43,92.32,1.56,90.24,1022,60,0.88297456,
0.04,0.8,915,84.26,97.73,1.07,1345,83.94,100.55,0.75,198.28,2260,70,0.877345133,
0.05,0,867,80.05,13.57,0.16,1287,80.96,174.86,1.36,188.43,2154,80,0.874791086,
0.05,0.6,867,80.05,13.57,0.16,1287,80.96,174.86,1.36,188.43,2154,80,0.874791086,
0.045,0.78,755,83.58,87.78,1.16,1105,83.26,74.86,0.68,162.64,1860,75,0.874408602,
0.06,0.6,555,79.64,51.58,0.93,818,79.58,68.47,0.84,120.05,1373,85,0.874362709,
0.06,0,555,79.64,51.58,0.93,818,79.58,68.47,0.84,120.05,1373,85,0.874362709,
0.06,0.6,616,79.22,18.3,0.3,900,80,113.62,1.26,131.92,1516,65,0.870184697,
0.06,0,616,79.22,18.3,0.3,900,80,113.62,1.26,131.92,1516,65,0.870184697,
0.06,0.8,287,82.93,18.7,0.65,427,83.37,43.14,1.01,61.84,714,70,0.866106443,
0.06,0.65,542,79.89,60.22,1.11,805,79.63,55.14,0.68,115.36,1347,90,0.856421678,
0.055,0.65,878,79.5,-4.13,-0.05,1323,80.65,191.91,1.45,187.78,2201,45,0.853157656,
0.03,0.84,839,85.94,-15.52,-0.18,1207,87.41,188.87,1.56,173.35,2046,60,0.847262952,
0.06,0.78,337,82.79,40.37,1.2,493,82.56,29.69,0.6,70.06,830,75,0.844096386,
0.045,0.78,767,83.57,91.46,1.19,1123,83.17,67.5,0.6,158.96,1890,70,0.841058201,
0.04,0.8,922,84.27,100.07,1.09,1346,83.88,90.55,0.67,190.62,2268,65,0.84047619,
0.055,0.78,634,82.81,64.54,1.02,945,82.75,68.17,0.72,132.71,1579,35,0.840468651,
0.04,0.8,949,84.4,118.76,1.25,1398,83.76,77.05,0.55,195.81,2347,60,0.834299105,
0.065,0.8,563,81.71,18.6,0.33,863,82.39,99.94,1.16,118.54,1426,15,0.831276297,
0.06,0.65,612,79.25,9.86,0.16,892,80.16,114.38,1.28,124.24,1504,65,0.82606383,
0.06,0.78,329,82.67,35.55,1.08,478,82.64,31.08,0.65,66.63,807,80,0.825650558,
0.06,0.65,551,79.67,43.14,0.78,810,79.75,69.23,0.85,112.37,1361,85,0.82564291,
0.055,0,884,79.41,0.57,0.01,1332,80.48,181.15,1.36,181.72,2216,45,0.820036101,
0.055,0.6,884,79.41,0.57,0.01,1332,80.48,181.15,1.36,181.72,2216,45,0.820036101,
0.035,0.84,619,85.78,-12.47,-0.2,874,87.19,134.78,1.54,122.31,1493,50,0.819223041,
0.045,0.65,1035,80.68,20.1,0.19,1536,81.38,190.34,1.24,210.44,2571,90,0.818514197,
0.04,0.84,355,85.07,-34.03,-0.96,518,87.45,105.35,2.03,71.32,873,85,0.816953036,
0.045,0,1040,80.58,18.54,0.18,1544,81.28,189.58,1.23,208.12,2584,90,0.805417957,
0.045,0.6,1040,80.58,18.54,0.18,1544,81.28,189.58,1.23,208.12,2584,90,0.805417957,
0.05,0.65,926,80.24,22.23,0.24,1370,80.88,161.44,1.18,183.67,2296,65,0.799956446,
0.04,0.84,377,85.41,-20.78,-0.55,546,87.18,94.25,1.73,73.47,923,65,0.795991333,
0.055,0.8,774,83.59,129.01,1.67,1216,82.48,29.33,0.24,158.34,1990,20,0.795678392,
0.05,0.65,947,80.25,24.57,0.26,1417,80.8,162.51,1.15,187.08,2364,60,0.791370558,
0.05,0,931,80.13,20.67,0.22,1378,80.77,160.68,1.17,181.35,2309,65,0.785404937,
0.05,0.6,931,80.13,20.67,0.22,1378,80.77,160.68,1.17,181.35,2309,65,0.785404937,
0.05,0,952,80.15,23.01,0.24,1425,80.7,161.75,1.14,184.76,2377,60,0.777282289,
0.05,0.6,952,80.15,23.01,0.24,1425,80.7,161.75,1.14,184.76,2377,60,0.777282289,
0.04,0.8,1002,84.33,115.05,1.15,1450,83.72,75.21,0.52,190.26,2452,55,0.77593801,
0.055,0,674,79.67,26.9,0.4,1011,80.22,103.14,1.02,130.04,1685,85,0.771750742,
0.055,0.6,674,79.67,26.9,0.4,1011,80.22,103.14,1.02,130.04,1685,85,0.771750742,
0.04,0.8,870,84.37,103.96,1.19,1285,83.74,62.09,0.48,166.05,2155,80,0.770533643,
0.055,0.78,581,82.27,20.98,0.36,862,83.06,90.09,1.05,111.07,1443,40,0.76971587,
0.035,0.84,791,86.22,92.5,1.17,1159,85.59,57.23,0.49,149.73,1950,15,0.767846154,
0.06,0.65,626,79.39,25.13,0.4,924,79.87,93.27,1.01,118.4,1550,60,0.763870968,
0.055,0.78,688,82.7,65.26,0.95,1037,82.64,66.16,0.64,131.42,1725,30,0.761855072,
0.04,0.84,356,85.11,-32.69,-0.92,522,87.36,99.37,1.9,66.68,878,80,0.759453303,
0.045,0.78,797,83.69,106.06,1.33,1174,82.96,43.6,0.37,149.66,1971,60,0.759309995,
0.06,0.6,571,79.16,15.17,0.27,837,79.81,91.65,1.09,106.82,1408,80,0.758664773,
0.06,0,571,79.16,15.17,0.27,837,79.81,91.65,1.09,106.82,1408,80,0.758664773,
0.06,0.78,440,81.82,8.77,0.2,641,82.84,72.29,1.13,81.06,1081,40,0.74986124,
0.04,0.84,374,85.29,-25.62,-0.69,546,87.18,94.25,1.73,68.63,920,70,0.745978261,
0.07,0,767,76.79,-114.02,-1.49,1138,79.53,255.77,2.25,141.75,1905,25,0.744094488,
0.04,0.8,1053,84.24,107.08,1.02,1551,83.75,86.53,0.56,193.61,2604,45,0.743509985,
0.06,0,631,79.24,23.57,0.37,932,79.72,92.51,0.99,116.08,1563,60,0.742674344,
0.06,0.6,631,79.24,23.57,0.37,932,79.72,92.51,0.99,116.08,1563,60,0.742674344,
0.04,0.8,1108,84.3,119.93,1.08,1650,83.7,84.02,0.51,203.95,2758,40,0.739485134,
0.07,0,444,78.38,10.38,0.23,624,78.85,68.39,1.1,78.77,1068,55,0.737546816,
0.07,0.6,444,78.38,10.38,0.23,624,78.85,68.39,1.1,78.77,1068,55,0.737546816,
0.045,0.78,826,83.66,102.97,1.25,1222,82.98,47.52,0.39,150.49,2048,55,0.734814453,
0.045,0.65,1045,80.77,29.32,0.28,1545,81.23,160.69,1.04,190.01,2590,85,0.733629344,
0.045,0.65,1068,80.71,23.2,0.22,1578,81.24,170.58,1.08,193.78,2646,80,0.732350718,
0.055,0.65,670,79.7,18.46,0.28,1003,80.36,103.9,1.04,122.36,1673,85,0.731380753,
0.05,0.78,749,82.91,58.56,0.78,1106,82.91,76.53,0.69,135.09,1855,40,0.728247978,
0.06,0.78,316,82.91,46.36,1.47,467,82.23,10.12,0.22,56.48,783,90,0.721328225,
0.035,0.84,790,85.82,7.46,0.09,1100,86.64,128.85,1.17,136.31,1890,25,0.721216931,
0.045,0,1050,80.67,27.76,0.26,1553,81.13,159.93,1.03,187.69,2603,85,0.721052632,
0.045,0.6,1050,80.67,27.76,0.26,1553,81.13,159.93,1.03,187.69,2603,85,0.721052632,
0.045,0.6,1073,80.62,21.64,0.2,1586,81.15,169.82,1.07,191.46,2659,80,0.72004513,
0.045,0,1073,80.62,21.64,0.2,1586,81.15,169.82,1.07,191.46,2659,80,0.72004513,
0.06,0.8,284,82.75,12.85,0.45,425,83.29,38.14,0.9,50.99,709,75,0.719181946,
0.055,0,666,79.58,20.37,0.31,1000,80.2,98.59,0.99,118.96,1666,90,0.714045618,
0.055,0.6,666,79.58,20.37,0.31,1000,80.2,98.59,0.99,118.96,1666,90,0.714045618,
0.035,0.84,593,85.67,-19.56,-0.33,829,87.09,121.02,1.46,101.46,1422,60,0.71350211,
0.06,0.65,567,79.19,6.73,0.12,829,79.98,92.41,1.11,99.14,1396,80,0.71017192,
0.07,0.6,767,76.79,-114.02,-1.49,1137,79.51,248.88,2.19,134.86,1904,25,0.708298319,
0.035,0.8,1134,84.74,139.71,1.23,1641,83.91,55.36,0.34,195.07,2775,90,0.702954955,
0.06,0.8,583,83.02,76.32,1.31,922,82.32,29.16,0.32,105.48,1505,20,0.700863787,
0.035,0.8,1149,84.77,143.29,1.25,1683,83.9,54.71,0.33,198,2832,85,0.699152542,
0.065,0.65,451,79.16,25.62,0.57,638,79.31,50.16,0.79,75.78,1089,85,0.695867769,
0.05,0,1226,79.61,-39.15,-0.32,1824,80.76,245.76,1.35,206.61,3050,35,0.677409836,
0.07,0.65,440,78.41,1.94,0.04,616,79.06,69.15,1.12,71.09,1056,55,0.673200758,
0.035,0.8,1212,84.65,136.09,1.12,1780,83.93,65.32,0.37,201.41,2992,65,0.673161765,
0.055,0.65,662,79.61,11.93,0.18,992,80.34,99.35,1,111.28,1654,90,0.672793229,
0.06,0,585,79.15,12.35,0.21,854,79.74,83.65,0.98,96,1439,75,0.667129951,
0.06,0.6,585,79.15,12.35,0.21,854,79.74,83.65,0.98,96,1439,75,0.667129951,
0.045,0.8,899,83.98,103.83,1.15,1350,83.26,46.17,0.34,150,2249,35,0.666963095,
0.06,0.78,320,82.81,40.73,1.27,468,82.26,11.37,0.24,52.1,788,85,0.661167513,
0.07,0.65,760,76.84,-124.77,-1.64,1126,79.66,248.51,2.21,123.74,1886,25,0.656097561,
0.04,0.8,1033,84.12,91.69,0.89,1500,83.73,74.46,0.5,166.15,2533,50,0.655941571,
0.05,0.6,1226,79.61,-39.15,-0.32,1823,80.75,238.87,1.31,199.72,3049,35,0.655034438,
0.06,0.78,413,81.36,-18.95,-0.46,603,83.08,85.38,1.42,66.43,1016,45,0.653838583,
0.05,0.65,1016,79.82,-23.09,-0.23,1530,80.92,189.36,1.24,166.27,2546,50,0.653063629,
0.035,0.8,1151,84.71,135.79,1.18,1685,83.86,47.21,0.28,183,2836,80,0.645275035,
0.065,0.6,453,79.03,21.34,0.47,646,79.1,49.4,0.76,70.74,1099,85,0.643676069,
0.065,0,453,79.03,21.34,0.47,646,79.1,49.4,0.76,70.74,1099,85,0.643676069,
0.06,0.78,395,81.52,-12.22,-0.31,577,83.02,74.51,1.29,62.29,972,50,0.640843621,
0.05,0.65,1219,79.66,-49.9,-0.41,1813,80.86,243.91,1.35,194.01,3032,35,0.63987467,
0.05,0.78,890,83.37,123.08,1.38,1313,82.41,17.82,0.14,140.9,2203,30,0.639582388,
0.035,0.84,820,86.1,45.8,0.56,1164,86.08,80.99,0.7,126.79,1984,20,0.6390625,
0.07,0.65,365,78.63,9.72,0.27,513,78.95,46.35,0.9,56.07,878,90,0.638610478,
0.07,0.65,376,78.72,14.78,0.39,525,78.86,41.66,0.79,56.44,901,85,0.626415094,
