stat,pre_split,prior_year,two_years,league_average,correlation,pre_split_bbe,prior_bbe,two_years_bbe,data_points
la,0.0,0.136,0.509,0.355,1.49,0,10,100,835
ev,0.0,0.064,0.447,0.489,0.05,0,10,100,835
gb/fb,0.0,0.038,0.493,0.469,1.3,0,10,100,835
x_move,0.0,0.65,0.162,0.187,0.87,0,10,100,835
z_move,0.0,0.161,0.191,0.648,1.85,0,10,100,835
extension,0.0,0.814,0.182,0.004,0.03,0,10,100,835
velo,0.0,0.446,0.406,0.147,0.06,0,10,100,835
spin_rate,0.0,0.54,0.0,0.46,0.22,0,10,100,835
whiff,0.0,0.121,0.633,0.246,0.6,0,10,100,835
hh,0.0,0.0,0.363,0.637,0.39,0,10,100,835
ld,0.0,0.018,0.149,0.833,0.47,0,10,100,835
barrel,0.0,0.007,0.163,0.83,1.03,0,10,100,835
weak,0.0,0.071,0.653,0.277,0.49,0,10,100,835
hr,0.0,0.055,0.207,0.737,1.02,0,10,100,835
swing%,0.0,0.125,0.64,0.234,0.14,0,10,100,835
chase%,0.0,0.116,0.516,0.368,0.42,0,10,100,835
xwobacon,0.083,0.022,0.195,0.701,0.12,10,10,100,747
la,0.549,0.069,0.223,0.159,0.86,10,10,100,747
ev,0.267,0.053,0.21,0.469,0.03,10,10,100,747
gb/fb,0.38,0.0,0.579,0.04,0.74,10,10,100,747
x_move,0.924,0.043,0.013,0.019,0.16,10,10,100,747
z_move,0.932,0.0,0.0,0.068,0.2,10,10,100,747
extension,0.75,0.181,0.056,0.012,0.02,10,10,100,747
velo,0.984,0.0,0.007,0.009,0.01,10,10,100,747
spin_rate,0.991,0.0,0.009,0.0,0.03,10,10,100,747
whiff,0.528,0.0,0.361,0.11,0.36,10,10,100,747
hh,0.185,0.031,0.289,0.496,0.18,10,10,100,747
ld,0.02,0.02,0.135,0.825,0.18,10,10,100,747
barrel,0.112,0.045,0.211,0.632,0.48,10,10,100,747
weak,0.438,0.096,0.313,0.153,0.31,10,10,100,747
hr,0.034,0.026,0.24,0.699,0.48,10,10,100,747
swing%,0.243,0.08,0.49,0.187,0.09,10,10,100,747
chase%,0.457,0.078,0.251,0.214,0.29,10,10,100,747
xwobacon,0.154,0.004,0.165,0.677,0.12,25,10,100,621
la,0.749,0.057,0.069,0.125,0.67,25,10,100,621
ev,0.441,0.032,0.205,0.321,0.02,25,10,100,621
gb/fb,0.457,0.041,0.11,0.392,0.8,25,10,100,621
x_move,0.935,0.035,0.013,0.017,0.15,25,10,100,621
z_move,0.952,0.0,0.0,0.048,0.16,25,10,100,621
extension,0.84,0.098,0.04,0.022,0.01,25,10,100,621
velo,0.992,0.0,0.0,0.008,0.01,25,10,100,621
spin_rate,0.987,0.0,0.013,0.0,0.03,25,10,100,621
whiff,0.709,0.023,0.268,0.0,0.28,25,10,100,621
hh,0.297,0.028,0.286,0.389,0.17,25,10,100,621
ld,0.043,0.0,0.154,0.803,0.19,25,10,100,621
barrel,0.167,0.014,0.182,0.637,0.46,25,10,100,621
weak,0.645,0.029,0.223,0.103,0.27,25,10,100,621
hr,0.089,0.028,0.225,0.658,0.47,25,10,100,621
swing%,0.403,0.036,0.413,0.148,0.08,25,10,100,621
chase%,0.684,0.013,0.212,0.091,0.24,25,10,100,621
xwobacon,0.267,0.04,0.14,0.553,0.11,50,10,100,465
la,0.863,0.012,0.073,0.052,0.62,50,10,100,465
ev,0.547,0.026,0.175,0.252,0.02,50,10,100,465
gb/fb,0.524,0.008,0.25,0.218,0.79,50,10,100,465
x_move,0.94,0.021,0.017,0.022,0.11,50,10,100,465
z_move,0.941,0.0,0.0,0.059,0.14,50,10,100,465
extension,0.888,0.059,0.018,0.035,0.01,50,10,100,465
velo,0.989,0.0,0.001,0.01,0.01,50,10,100,465
spin_rate,0.997,0.0,0.0,0.003,0.02,50,10,100,465
whiff,0.82,0.0,0.179,0.0,0.24,50,10,100,465
hh,0.378,0.035,0.206,0.381,0.16,50,10,100,465
ld,0.068,0.014,0.108,0.809,0.2,50,10,100,465
barrel,0.348,0.039,0.163,0.451,0.44,50,10,100,465
weak,0.803,0.032,0.089,0.076,0.23,50,10,100,465
hr,0.178,0.025,0.205,0.592,0.48,50,10,100,465
swing%,0.55,0.074,0.232,0.143,0.07,50,10,100,465
chase%,0.798,0.002,0.167,0.033,0.21,50,10,100,465
xwobacon,0.286,0.028,0.199,0.487,0.12,75,10,100,317
la,0.872,0.062,0.0,0.066,0.57,75,10,100,317
ev,0.637,0.013,0.22,0.13,0.02,75,10,100,317
gb/fb,0.748,0.0,0.252,0.0,0.77,75,10,100,317
x_move,0.96,0.0,0.017,0.023,0.11,75,10,100,317
z_move,0.933,0.007,0.0,0.06,0.13,75,10,100,317
extension,0.918,0.036,0.0,0.046,0.01,75,10,100,317
velo,0.991,0.0,0.004,0.006,0.01,75,10,100,317
spin_rate,0.983,0.0,0.0,0.017,0.02,75,10,100,317
whiff,0.898,0.013,0.089,0.0,0.21,75,10,100,317
hh,0.488,0.036,0.216,0.26,0.17,75,10,100,317
ld,0.191,0.007,0.065,0.737,0.2,75,10,100,317
barrel,0.406,0.029,0.233,0.331,0.45,75,10,100,317
weak,0.843,0.055,0.074,0.027,0.22,75,10,100,317
hr,0.176,0.058,0.222,0.544,0.48,75,10,100,317
swing%,0.694,0.003,0.213,0.09,0.07,75,10,100,317
chase%,0.838,0.059,0.056,0.047,0.2,75,10,100,317
xwobacon,0.399,0.0,0.183,0.418,0.11,100,10,100,184
la,0.866,0.01,0.0,0.124,0.48,100,10,100,184
ev,0.746,0.003,0.178,0.074,0.02,100,10,100,184
gb/fb,0.919,0.025,0.0,0.056,0.45,100,10,100,184
x_move,0.926,0.0,0.03,0.045,0.11,100,10,100,184
z_move,0.959,0.025,0.0,0.016,0.12,100,10,100,184
extension,0.935,0.018,0.0,0.047,0.01,100,10,100,184
velo,1.0,0.0,0.0,0.0,0.01,100,10,100,184
spin_rate,0.992,0.0,0.0,0.008,0.02,100,10,100,184
whiff,0.872,0.0,0.074,0.053,0.18,100,10,100,184
hh,0.602,0.011,0.267,0.12,0.16,100,10,100,184
ld,0.333,0.006,0.075,0.586,0.19,100,10,100,184
barrel,0.442,0.0,0.037,0.521,0.48,100,10,100,184
weak,0.908,0.026,0.0,0.066,0.17,100,10,100,184
hr,0.249,0.026,0.166,0.558,0.5,100,10,100,184
swing%,0.665,0.086,0.099,0.151,0.07,100,10,100,184
chase%,0.83,0.015,0.155,0.0,0.18,100,10,100,184
xwobacon,0.0,0.0,0.135,0.865,0.3,0,25,100,819
la,0.0,0.201,0.455,0.344,1.47,0,25,100,819
ev,0.0,0.183,0.32,0.497,0.05,0,25,100,819
gb/fb,0.0,0.16,0.436,0.404,1.33,0,25,100,819
x_move,0.0,0.66,0.0,0.34,0.83,0,25,100,819
z_move,0.0,0.337,0.031,0.632,1.65,0,25,100,819
extension,0.0,0.815,0.173,0.012,0.03,0,25,100,819
velo,0.0,0.425,0.36,0.216,0.06,0,25,100,819
spin_rate,0.0,0.44,0.0,0.56,0.22,0,25,100,819
whiff,0.0,0.277,0.512,0.211,0.59,0,25,100,819
hh,0.0,0.149,0.318,0.533,0.38,0,25,100,819
ld,0.0,0.0,0.103,0.897,0.47,0,25,100,819
barrel,0.0,0.024,0.121,0.855,0.99,0,25,100,819
weak,0.0,0.144,0.524,0.333,0.49,0,25,100,819
hr,0.0,0.119,0.187,0.694,1.01,0,25,100,819
swing%,0.0,0.268,0.559,0.173,0.14,0,25,100,819
chase%,0.0,0.138,0.496,0.366,0.42,0,25,100,819
xwobacon,0.083,0.033,0.118,0.766,0.12,10,25,100,733
la,0.541,0.098,0.181,0.181,0.84,10,25,100,733
ev,0.254,0.148,0.16,0.438,0.03,10,25,100,733
gb/fb,0.315,0.091,0.496,0.097,0.73,10,25,100,733
x_move,0.923,0.035,0.023,0.019,0.17,10,25,100,733
z_move,0.925,0.0,0.0,0.075,0.21,10,25,100,733
extension,0.762,0.166,0.057,0.015,0.02,10,25,100,733
velo,0.981,0.0,0.008,0.011,0.01,10,25,100,733
spin_rate,0.992,0.003,0.003,0.003,0.03,10,25,100,733
whiff,0.517,0.116,0.319,0.048,0.37,10,25,100,733
hh,0.173,0.096,0.249,0.482,0.18,10,25,100,733
ld,0.018,0.016,0.107,0.859,0.18,10,25,100,733
barrel,0.11,0.051,0.161,0.678,0.48,10,25,100,733
weak,0.402,0.186,0.226,0.187,0.3,10,25,100,733
hr,0.035,0.047,0.204,0.714,0.48,10,25,100,733
swing%,0.236,0.158,0.443,0.162,0.09,10,25,100,733
chase%,0.432,0.114,0.239,0.215,0.29,10,25,100,733
xwobacon,0.162,0.035,0.15,0.653,0.12,25,25,100,614
la,0.769,0.027,0.128,0.077,0.68,25,25,100,614
ev,0.433,0.047,0.224,0.296,0.03,25,25,100,614
gb/fb,0.432,0.028,0.333,0.207,0.92,25,25,100,614
x_move,0.936,0.027,0.022,0.015,0.15,25,25,100,614
z_move,0.951,0.0,0.0,0.049,0.16,25,25,100,614
extension,0.845,0.1,0.036,0.019,0.01,25,25,100,614
velo,0.991,0.0,0.0,0.009,0.01,25,25,100,614
spin_rate,0.986,0.0,0.014,0.0,0.03,25,25,100,614
whiff,0.752,0.02,0.228,0.0,0.29,25,25,100,614
hh,0.308,0.085,0.288,0.319,0.17,25,25,100,614
ld,0.055,0.016,0.119,0.81,0.19,25,25,100,614
barrel,0.186,0.036,0.223,0.555,0.46,25,25,100,614
weak,0.669,0.038,0.195,0.098,0.27,25,25,100,614
hr,0.094,0.064,0.194,0.648,0.47,25,25,100,614
swing%,0.404,0.155,0.316,0.124,0.08,25,25,100,614
chase%,0.69,0.108,0.172,0.03,0.24,25,25,100,614
xwobacon,0.252,0.093,0.157,0.498,0.11,50,25,100,464
la,0.863,0.105,0.0,0.032,0.61,50,25,100,464
ev,0.528,0.059,0.184,0.228,0.02,50,25,100,464
gb/fb,0.47,0.121,0.036,0.372,0.77,50,25,100,464
x_move,0.94,0.019,0.018,0.023,0.11,50,25,100,464
z_move,0.941,0.0,0.0,0.059,0.14,50,25,100,464
extension,0.884,0.064,0.017,0.035,0.01,50,25,100,464
velo,0.989,0.0,0.0,0.011,0.01,50,25,100,464
spin_rate,0.996,0.0,0.0,0.004,0.02,50,25,100,464
whiff,0.82,0.02,0.16,0.0,0.24,50,25,100,464
hh,0.374,0.076,0.176,0.374,0.16,50,25,100,464
ld,0.067,0.036,0.085,0.812,0.2,50,25,100,464
barrel,0.344,0.083,0.18,0.393,0.43,50,25,100,464
weak,0.796,0.065,0.079,0.059,0.23,50,25,100,464
hr,0.165,0.1,0.219,0.517,0.47,50,25,100,464
swing%,0.549,0.087,0.228,0.136,0.07,50,25,100,464
chase%,0.785,0.068,0.146,0.0,0.21,50,25,100,464
xwobacon,0.285,0.023,0.178,0.514,0.12,75,25,100,316
la,0.866,0.069,0.014,0.051,0.58,75,25,100,316
ev,0.629,0.09,0.122,0.159,0.02,75,25,100,316
gb/fb,0.786,0.112,0.086,0.015,0.78,75,25,100,316
x_move,0.96,0.0,0.017,0.023,0.11,75,25,100,316
z_move,0.933,0.009,0.0,0.059,0.13,75,25,100,316
extension,0.919,0.034,0.0,0.046,0.01,75,25,100,316
velo,0.991,0.0,0.004,0.006,0.01,75,25,100,316
spin_rate,0.983,0.0,0.0,0.017,0.02,75,25,100,316
whiff,0.898,0.0,0.102,0.0,0.21,75,25,100,316
hh,0.455,0.107,0.196,0.241,0.17,75,25,100,316
ld,0.191,0.05,0.002,0.757,0.2,75,25,100,316
barrel,0.419,0.056,0.16,0.365,0.46,75,25,100,316
weak,0.841,0.1,0.051,0.007,0.22,75,25,100,316
hr,0.187,0.0,0.237,0.576,0.49,75,25,100,316
swing%,0.7,0.0,0.181,0.119,0.07,75,25,100,316
chase%,0.837,0.0,0.114,0.049,0.2,75,25,100,316
xwobacon,0.388,0.067,0.145,0.4,0.11,100,25,100,183
la,0.861,0.059,0.0,0.08,0.48,100,25,100,183
ev,0.732,0.048,0.119,0.101,0.02,100,25,100,183
gb/fb,0.949,0.051,0.0,0.0,0.79,100,25,100,183
x_move,0.926,0.0,0.028,0.046,0.11,100,25,100,183
z_move,0.959,0.027,0.0,0.014,0.12,100,25,100,183
extension,0.925,0.029,0.0,0.047,0.01,100,25,100,183
velo,1.0,0.0,0.0,0.0,0.01,100,25,100,183
spin_rate,0.992,0.0,0.0,0.008,0.02,100,25,100,183
whiff,0.884,0.0,0.033,0.083,0.18,100,25,100,183
hh,0.604,0.0,0.282,0.115,0.16,100,25,100,183
ld,0.341,0.062,0.0,0.597,0.19,100,25,100,183
barrel,0.433,0.05,0.038,0.479,0.47,100,25,100,183
weak,0.907,0.002,0.017,0.074,0.17,100,25,100,183
hr,0.228,0.0,0.199,0.573,0.5,100,25,100,183
swing%,0.654,0.117,0.093,0.137,0.07,100,25,100,183
chase%,0.826,0.0,0.174,0.0,0.18,100,25,100,183
xwobacon,0.0,0.108,0.155,0.737,0.28,0,50,100,745
la,0.0,0.226,0.403,0.371,1.48,0,50,100,745
ev,0.0,0.147,0.34,0.513,0.05,0,50,100,745
gb/fb,0.0,0.233,0.366,0.401,1.23,0,50,100,745
x_move,0.0,0.734,0.194,0.072,0.87,0,50,100,745
z_move,0.0,0.3,0.035,0.665,1.73,0,50,100,745
extension,0.0,0.87,0.115,0.015,0.03,0,50,100,745
velo,0.0,0.447,0.323,0.229,0.06,0,50,100,745
spin_rate,0.0,0.368,0.0,0.632,0.23,0,50,100,745
whiff,0.0,0.304,0.517,0.179,0.57,0,50,100,745
hh,0.0,0.115,0.38,0.504,0.38,0,50,100,745
ld,0.0,0.038,0.083,0.879,0.44,0,50,100,745
barrel,0.0,0.068,0.142,0.789,0.9,0,50,100,745
weak,0.0,0.311,0.509,0.18,0.46,0,50,100,745
hr,0.0,0.106,0.198,0.696,0.99,0,50,100,745
swing%,0.0,0.347,0.476,0.177,0.13,0,50,100,745
chase%,0.0,0.403,0.364,0.234,0.4,0,50,100,745
xwobacon,0.07,0.103,0.113,0.715,0.12,10,50,100,671
la,0.548,0.147,0.161,0.144,0.89,10,50,100,671
ev,0.232,0.15,0.184,0.434,0.03,10,50,100,671
gb/fb,0.302,0.17,0.504,0.025,0.78,10,50,100,671
x_move,0.944,0.031,0.02,0.004,0.19,10,50,100,671
z_move,0.931,0.0,0.0,0.069,0.21,10,50,100,671
extension,0.742,0.239,0.003,0.016,0.02,10,50,100,671
velo,0.984,0.0,0.007,0.01,0.01,10,50,100,671
spin_rate,0.989,0.009,0.002,0.0,0.03,10,50,100,671
whiff,0.463,0.18,0.357,0.0,0.35,10,50,100,671
hh,0.151,0.126,0.233,0.49,0.18,10,50,100,671
ld,0.014,0.066,0.076,0.844,0.18,10,50,100,671
barrel,0.101,0.13,0.172,0.597,0.46,10,50,100,671
weak,0.364,0.201,0.254,0.181,0.31,10,50,100,671
hr,0.031,0.127,0.22,0.622,0.46,10,50,100,671
swing%,0.215,0.318,0.317,0.15,0.09,10,50,100,671
chase%,0.428,0.128,0.249,0.195,0.28,10,50,100,671
xwobacon,0.145,0.106,0.184,0.565,0.11,25,50,100,573
la,0.753,0.164,0.037,0.047,0.73,25,50,100,573
ev,0.405,0.174,0.203,0.218,0.02,25,50,100,573
gb/fb,0.359,0.117,0.143,0.382,0.87,25,50,100,573
x_move,0.951,0.0,0.037,0.013,0.15,25,50,100,573
z_move,0.944,0.0,0.0,0.056,0.16,25,50,100,573
extension,0.829,0.12,0.033,0.019,0.01,25,50,100,573
velo,0.983,0.0,0.005,0.012,0.01,25,50,100,573
spin_rate,0.986,0.0,0.014,0.0,0.03,25,50,100,573
whiff,0.738,0.0,0.262,0.0,0.28,25,50,100,573
hh,0.259,0.11,0.311,0.321,0.17,25,50,100,573
ld,0.045,0.034,0.106,0.815,0.19,25,50,100,573
barrel,0.18,0.078,0.237,0.505,0.46,25,50,100,573
weak,0.628,0.197,0.093,0.082,0.25,25,50,100,573
hr,0.091,0.142,0.219,0.549,0.44,25,50,100,573
swing%,0.382,0.216,0.281,0.121,0.08,25,50,100,573
chase%,0.685,0.096,0.126,0.092,0.24,25,50,100,573
xwobacon,0.254,0.103,0.139,0.504,0.11,50,50,100,437
la,0.86,0.055,0.045,0.04,0.62,50,50,100,437
ev,0.544,0.102,0.141,0.212,0.02,50,50,100,437
gb/fb,0.478,0.048,0.102,0.372,0.79,50,50,100,437
x_move,0.941,0.0,0.033,0.026,0.12,50,50,100,437
z_move,0.938,0.002,0.0,0.06,0.13,50,50,100,437
extension,0.861,0.102,0.0,0.037,0.01,50,50,100,437
velo,0.985,0.0,0.0,0.015,0.01,50,50,100,437
spin_rate,0.997,0.0,0.0,0.003,0.02,50,50,100,437
whiff,0.824,0.009,0.167,0.0,0.23,50,50,100,437
hh,0.354,0.157,0.164,0.325,0.16,50,50,100,437
ld,0.089,0.068,0.124,0.719,0.21,50,50,100,437
barrel,0.321,0.064,0.209,0.406,0.44,50,50,100,437
weak,0.803,0.072,0.084,0.041,0.23,50,50,100,437
hr,0.15,0.14,0.189,0.521,0.48,50,50,100,437
swing%,0.518,0.132,0.209,0.141,0.07,50,50,100,437
chase%,0.769,0.033,0.14,0.058,0.21,50,50,100,437
xwobacon,0.269,0.04,0.155,0.536,0.12,75,50,100,302
la,0.849,0.146,0.0,0.004,0.58,75,50,100,302
ev,0.613,0.088,0.121,0.177,0.02,75,50,100,302
gb/fb,0.828,0.101,0.033,0.038,0.76,75,50,100,302
x_move,0.945,0.0,0.023,0.033,0.11,75,50,100,302
z_move,0.954,0.005,0.001,0.039,0.14,75,50,100,302
extension,0.917,0.036,0.0,0.047,0.01,75,50,100,302
velo,0.992,0.0,0.003,0.005,0.01,75,50,100,302
spin_rate,0.99,0.0,0.0,0.01,0.02,75,50,100,302
whiff,0.878,0.0,0.122,0.0,0.21,75,50,100,302
hh,0.443,0.146,0.174,0.237,0.16,75,50,100,302
ld,0.187,0.046,0.072,0.695,0.2,75,50,100,302
barrel,0.403,0.0,0.226,0.37,0.46,75,50,100,302
weak,0.807,0.087,0.086,0.02,0.21,75,50,100,302
hr,0.181,0.029,0.25,0.54,0.49,75,50,100,302
swing%,0.674,0.041,0.173,0.112,0.07,75,50,100,302
chase%,0.845,0.032,0.083,0.041,0.2,75,50,100,302
xwobacon,0.439,0.018,0.263,0.28,0.11,100,50,100,177
la,0.925,0.0,0.0,0.075,0.5,100,50,100,177
ev,0.736,0.14,0.115,0.009,0.02,100,50,100,177
gb/fb,0.893,0.0,0.022,0.085,0.9,100,50,100,177
x_move,0.951,0.0,0.023,0.025,0.09,100,50,100,177
z_move,0.975,0.025,0.0,0.0,0.12,100,50,100,177
extension,0.926,0.026,0.0,0.048,0.01,100,50,100,177
velo,1.0,0.0,0.0,0.0,0.01,100,50,100,177
spin_rate,0.997,0.0,0.0,0.003,0.02,100,50,100,177
whiff,0.891,0.0,0.085,0.023,0.18,100,50,100,177
hh,0.614,0.122,0.256,0.007,0.15,100,50,100,177
ld,0.342,0.003,0.062,0.593,0.19,100,50,100,177
barrel,0.444,0.0,0.131,0.425,0.49,100,50,100,177
weak,0.963,0.0,0.031,0.006,0.18,100,50,100,177
hr,0.236,0.067,0.182,0.515,0.5,100,50,100,177
swing%,0.708,0.137,0.0,0.155,0.07,100,50,100,177
chase%,0.831,0.067,0.102,0.0,0.18,100,50,100,177
xwobacon,0.0,0.129,0.103,0.769,0.29,0,75,100,681
la,0.0,0.386,0.305,0.309,1.52,0,75,100,681
ev,0.0,0.33,0.33,0.34,0.05,0,75,100,681
gb/fb,0.0,0.434,0.267,0.299,1.41,0,75,100,681
x_move,0.0,0.803,0.044,0.153,0.89,0,75,100,681
z_move,0.0,0.408,0.003,0.589,1.74,0,75,100,681
extension,0.0,0.967,0.033,0.0,0.03,0,75,100,681
velo,0.0,0.492,0.443,0.065,0.06,0,75,100,681
spin_rate,0.0,0.283,0.0,0.717,0.21,0,75,100,681
whiff,0.0,0.42,0.53,0.051,0.55,0,75,100,681
hh,0.0,0.157,0.403,0.44,0.4,0,75,100,681
ld,0.0,0.232,0.081,0.687,0.45,0,75,100,681
barrel,0.0,0.113,0.118,0.77,0.98,0,75,100,681
weak,0.0,0.404,0.379,0.217,0.49,0,75,100,681
hr,0.0,0.218,0.126,0.656,0.95,0,75,100,681
swing%,0.0,0.463,0.416,0.121,0.14,0,75,100,681
chase%,0.0,0.323,0.424,0.253,0.4,0,75,100,681
xwobacon,0.083,0.1,0.138,0.679,0.12,10,75,100,614
la,0.587,0.249,0.014,0.151,0.88,10,75,100,614
ev,0.235,0.296,0.134,0.335,0.03,10,75,100,614
gb/fb,0.372,0.323,0.306,0.0,0.88,10,75,100,614
x_move,0.935,0.045,0.0,0.02,0.17,10,75,100,614
z_move,0.926,0.0,0.0,0.074,0.19,10,75,100,614
extension,0.763,0.211,0.012,0.015,0.02,10,75,100,614
velo,0.983,0.0,0.006,0.011,0.01,10,75,100,614
spin_rate,0.993,0.007,0.0,0.0,0.03,10,75,100,614
whiff,0.515,0.207,0.278,0.0,0.36,10,75,100,614
hh,0.159,0.213,0.195,0.432,0.17,10,75,100,614
ld,0.025,0.077,0.096,0.802,0.18,10,75,100,614
barrel,0.11,0.129,0.191,0.57,0.49,10,75,100,614
weak,0.413,0.338,0.208,0.042,0.31,10,75,100,614
hr,0.036,0.153,0.189,0.623,0.47,10,75,100,614
swing%,0.225,0.339,0.295,0.141,0.09,10,75,100,614
chase%,0.404,0.226,0.191,0.179,0.26,10,75,100,614
xwobacon,0.158,0.12,0.124,0.598,0.11,25,75,100,527
la,0.756,0.151,0.045,0.048,0.71,25,75,100,527
ev,0.398,0.119,0.175,0.307,0.02,25,75,100,527
gb/fb,0.405,0.169,0.0,0.426,0.94,25,75,100,527
x_move,0.918,0.018,0.049,0.015,0.15,25,75,100,527
z_move,0.933,0.0,0.0,0.067,0.18,25,75,100,527
extension,0.851,0.104,0.023,0.022,0.01,25,75,100,527
velo,0.989,0.0,0.0,0.01,0.01,25,75,100,527
spin_rate,0.977,0.0,0.023,0.0,0.03,25,75,100,527
whiff,0.748,0.0,0.252,0.0,0.28,25,75,100,527
hh,0.262,0.162,0.213,0.362,0.16,25,75,100,527
ld,0.057,0.033,0.131,0.779,0.19,25,75,100,527
barrel,0.202,0.139,0.168,0.49,0.45,25,75,100,527
weak,0.675,0.204,0.082,0.039,0.25,25,75,100,527
hr,0.098,0.16,0.2,0.542,0.45,25,75,100,527
swing%,0.361,0.289,0.269,0.082,0.08,25,75,100,527
chase%,0.648,0.199,0.084,0.07,0.23,25,75,100,527
xwobacon,0.251,0.143,0.12,0.486,0.11,50,75,100,407
la,0.896,0.062,0.011,0.031,0.59,50,75,100,407
ev,0.521,0.122,0.143,0.215,0.02,50,75,100,407
gb/fb,0.523,0.024,0.072,0.382,0.77,50,75,100,407
x_move,0.949,0.017,0.0,0.033,0.11,50,75,100,407
z_move,0.931,0.0,0.009,0.06,0.12,50,75,100,407
extension,0.861,0.105,0.0,0.033,0.01,50,75,100,407
velo,0.989,0.0,0.0,0.011,0.01,50,75,100,407
spin_rate,0.985,0.0,0.0,0.015,0.02,50,75,100,407
whiff,0.816,0.006,0.178,0.0,0.23,50,75,100,407
hh,0.34,0.195,0.139,0.326,0.16,50,75,100,407
ld,0.088,0.03,0.064,0.817,0.2,50,75,100,407
barrel,0.317,0.126,0.152,0.406,0.43,50,75,100,407
weak,0.782,0.143,0.035,0.04,0.23,50,75,100,407
hr,0.164,0.179,0.199,0.458,0.47,50,75,100,407
swing%,0.535,0.127,0.21,0.129,0.07,50,75,100,407
chase%,0.77,0.05,0.159,0.021,0.22,50,75,100,407
xwobacon,0.258,0.124,0.176,0.442,0.12,75,75,100,286
la,0.875,0.121,0.0,0.004,0.59,75,75,100,286
ev,0.582,0.141,0.135,0.142,0.02,75,75,100,286
gb/fb,0.651,0.138,0.078,0.134,0.99,75,75,100,286
x_move,0.948,0.0,0.029,0.022,0.11,75,75,100,286
z_move,0.952,0.001,0.0,0.047,0.16,75,75,100,286
extension,0.926,0.029,0.0,0.045,0.01,75,75,100,286
velo,0.991,0.0,0.003,0.006,0.01,75,75,100,286
spin_rate,0.99,0.0,0.0,0.01,0.02,75,75,100,286
whiff,0.87,0.0,0.13,0.0,0.21,75,75,100,286
hh,0.434,0.23,0.157,0.178,0.16,75,75,100,286
ld,0.186,0.115,0.045,0.654,0.2,75,75,100,286
barrel,0.377,0.059,0.201,0.363,0.45,75,75,100,286
weak,0.847,0.077,0.059,0.018,0.21,75,75,100,286
hr,0.187,0.059,0.239,0.516,0.48,75,75,100,286
swing%,0.665,0.053,0.202,0.08,0.07,75,75,100,286
chase%,0.828,0.069,0.1,0.002,0.2,75,75,100,286
xwobacon,0.42,0.034,0.139,0.407,0.11,100,75,100,173
la,0.879,0.062,0.0,0.058,0.51,100,75,100,173
ev,0.727,0.054,0.153,0.066,0.02,100,75,100,173
gb/fb,0.982,0.0,0.018,0.0,0.84,100,75,100,173
x_move,0.906,0.0,0.051,0.043,0.11,100,75,100,173
z_move,0.979,0.017,0.0,0.004,0.13,100,75,100,173
extension,0.934,0.024,0.0,0.043,0.01,100,75,100,173
velo,0.992,0.0,0.007,0.0,0.01,100,75,100,173
spin_rate,0.997,0.0,0.0,0.003,0.02,100,75,100,173
whiff,0.886,0.0,0.057,0.057,0.19,100,75,100,173
hh,0.637,0.117,0.144,0.102,0.16,100,75,100,173
ld,0.359,0.018,0.083,0.54,0.2,100,75,100,173
barrel,0.433,0.122,0.0,0.445,0.48,100,75,100,173
weak,0.966,0.001,0.019,0.014,0.18,100,75,100,173
hr,0.232,0.097,0.168,0.502,0.51,100,75,100,173
swing%,0.62,0.205,0.06,0.115,0.07,100,75,100,173
chase%,0.835,0.0,0.165,0.0,0.18,100,75,100,173
xwobacon,0.0,0.077,0.0,0.923,0.3,0,100,100,585
la,0.0,0.471,0.32,0.209,1.52,0,100,100,585
ev,0.0,0.33,0.33,0.34,0.05,0,100,100,585
gb/fb,0.0,0.194,0.361,0.445,1.42,0,100,100,585
x_move,0.0,0.903,0.024,0.072,0.92,0,100,100,585
z_move,0.0,0.338,0.006,0.656,1.76,0,100,100,585
extension,0.0,0.939,0.052,0.01,0.03,0,100,100,585
velo,0.0,0.54,0.457,0.003,0.06,0,100,100,585
spin_rate,0.0,0.293,0.281,0.426,0.19,0,100,100,585
whiff,0.0,0.585,0.376,0.039,0.55,0,100,100,585
hh,0.0,0.131,0.359,0.509,0.41,0,100,100,585
ld,0.0,0.154,0.006,0.84,0.45,0,100,100,585
barrel,0.0,0.174,0.062,0.764,1.03,0,100,100,585
weak,0.0,0.438,0.407,0.155,0.46,0,100,100,585
hr,0.0,0.265,0.101,0.634,0.96,0,100,100,585
swing%,0.0,0.548,0.393,0.058,0.14,0,100,100,585
chase%,0.0,0.329,0.313,0.358,0.39,0,100,100,585
xwobacon,0.075,0.205,0.127,0.593,0.12,10,100,100,536
la,0.558,0.265,0.041,0.136,0.92,10,100,100,536
ev,0.223,0.304,0.129,0.345,0.03,10,100,100,536
gb/fb,0.419,0.208,0.373,0.0,0.89,10,100,100,536
x_move,0.922,0.067,0.01,0.001,0.19,10,100,100,536
z_move,0.92,0.0,0.0,0.08,0.21,10,100,100,536
extension,0.746,0.218,0.012,0.025,0.02,10,100,100,536
velo,0.985,0.011,0.002,0.002,0.01,10,100,100,536
spin_rate,0.99,0.01,0.0,0.0,0.03,10,100,100,536
whiff,0.487,0.274,0.239,0.0,0.35,10,100,100,536
hh,0.129,0.274,0.209,0.387,0.17,10,100,100,536
ld,0.015,0.15,0.052,0.783,0.18,10,100,100,536
barrel,0.111,0.159,0.162,0.568,0.48,10,100,100,536
weak,0.412,0.437,0.106,0.046,0.32,10,100,100,536
