diff_threshold,pred_hr_threshold,train_picks,train_win_rate,train_profit,train_roi,num_picks,win_rate,total_profit,roi,sum_profit,sum_picks,weight,both_roi,decision
0.045,0.1,503,18.29,284.86,5.66,753,15.94,-442.04,-5.87,-157.18,1256,70,-1.251433121,
0.06,0.12,208,20.67,142.3,6.84,324,18.52,-209.72,-6.47,-67.42,532,65,-1.267293233,
0.06,0.12,205,19.51,80.87,3.94,327,18.35,-149.54,-4.57,-68.67,532,90,-1.290789474,
0.05,0.08,436,16.74,88.37,2.03,682,15.25,-233.97,-3.43,-145.6,1118,90,-1.302325581,
0.045,0.12,414,19.57,371.3,8.97,616,16.72,-507.15,-8.23,-135.85,1030,85,-1.318932039,
0.06,0.12,205,20.49,104.73,5.11,324,18.83,-174.75,-5.39,-70.02,529,60,-1.32362949,
0.055,0.12,230,21.3,117.68,5.12,370,19.46,-200.27,-5.41,-82.59,600,40,-1.3765,
0.045,0.08,541,17.74,82.1,1.52,810,15.56,-268.96,-3.32,-186.86,1351,55,-1.383123612,
0.045,0.12,415,19.52,361.3,8.71,611,16.69,-503.23,-8.24,-141.93,1026,90,-1.383333333,
0.045,0.06,526,18.25,163.36,3.11,794,15.74,-349.3,-4.4,-185.94,1320,40,-1.408636364,
0.045,0.12,411,19.71,350.71,8.53,615,16.75,-497.15,-8.08,-146.44,1026,75,-1.427290448,
0.025,0.18,336,25.6,369.57,11,540,21.48,-497.17,-9.21,-127.6,876,50,-1.456621005,
0.04,0.18,234,27.78,287.43,12.28,337,23.15,-373.21,-11.07,-85.78,571,25,-1.502276708,
0.03,0.18,299,26.76,444.68,14.87,470,21.28,-560.24,-11.92,-115.56,769,40,-1.502730819,
0.03,0.14,569,20.91,146.3,2.57,862,19.49,-364.04,-4.22,-217.74,1431,35,-1.521593291,
0.05,0.08,428,16.59,23.25,0.54,678,15.34,-193.97,-2.86,-170.72,1106,85,-1.54358047,
0.015,0.2,406,25.86,162.41,4,663,24.74,-332.53,-5.02,-170.12,1069,20,-1.591393826,
0.03,0.18,290,26.55,432.7,14.92,456,21.05,-551.71,-12.1,-119.01,746,50,-1.595308311,
0.045,0.08,533,17.82,83.98,1.58,799,15.89,-298.33,-3.73,-214.35,1332,50,-1.609234234,
0.02,0.14,524,25,425.01,8.11,825,22.3,-645.62,-7.83,-220.61,1349,10,-1.635359526,
0.025,0.18,348,25.57,345.07,9.92,544,21.69,-492.05,-9.05,-146.98,892,45,-1.647757848,
0.045,0.08,544,17.46,127.55,2.34,822,15.33,-364.49,-4.43,-236.94,1366,60,-1.734553441,
