"last_name, first_name","player_id","year","pa"
"Cueto, Johnny",456501,2017,648
"Pelfrey, Mike",460059,2017,546
"Gonzalez, Gio",461829,2017,827
"Estrada, Marco",462136,2017,806
"Nova, Iván",467100,2017,785
"Carrasco, Carlos",471911,2017,798
"Kershaw, Clayton",477132,2017,678
"Cashner, Andrew",488768,2017,704
"Ramírez, JC",500724,2017,620
"Quintana, Jose",500779,2017,790
"Archer, Chris",502042,2017,852
"Samardzija, Jeff",502188,2017,847
"Anderson, Chase",502624,2017,569
"Holland, Derek",502706,2017,626
"Salazar, Danny",517593,2017,439
"Bumgarner, Madison",518516,2017,450
"Moore, Matt",519043,2017,790
"Pomeranz, Drew",519141,2017,739
"Zimmermann, Jordan",519455,2017,713
"Pérez, Martín",527048,2017,811
"Teheran, Julio",527054,2017,812
"Ramírez, Erasmo",541640,2017,539
"Cole, Gerrit",543037,2017,849
"Odorizzi, Jake",543606,2017,603
"Roark, Tanner",543699,2017,776
"Strasburg, Stephen",544931,2017,701
"Ryu, Hyun Jin",547943,2017,541
"Ureña, José",570632,2017,724
"Boyd, Matthew",571510,2017,605
"Fiers, Mike",571666,2017,670
"Paxton, James",572020,2017,552
"Keuchel, Dallas",572971,2017,583
"Straily, Dan",573185,2017,769
"Stroman, Marcus",573186,2017,834
"Gausman, Kevin",592332,2017,816
"Gray, Jon",592351,2017,461
"Ray, Robbie",592662,2017,665
"Taillon, Jameson",592791,2017,587
"Williams, Trevor",592866,2017,642
"Martinez, Carlos",593372,2017,858
"Rodriguez, Eduardo",593958,2017,582
"deGrom, Jacob",594798,2017,827
"Eickhoff, Jerad",595191,2017,576
"Pivetta, Nick",601713,2017,584
"Bundy, Dylan",605164,2017,698
"Clevinger, Mike",605182,2017,501
"Cotton, Jharel",605194,2017,564
"Nola, Aaron",605400,2017,693
"Perdomo, Luis",606131,2017,716
"Freeland, Kyle",607536,2017,688
"Wacha, Michael",608379,2017,701
"Graveman, Kendall",608665,2017,444
"Berríos, José",621244,2017,616
"Kuhl, Chad",641771,2017,680
"Newcomb, Sean",656794,2017,456
"Miranda, Aríel",664641,2017,678
"Colon, Bartolo",112526,2018,628
"Hernández, Félix",433587,2018,684
"Verlander, Justin",434378,2018,833
"Sánchez, Aníbal",434671,2018,553
"Kluber, Corey",446372,2018,842
"Hill, Rich",448179,2018,547
"Shields, James",448306,2018,871
"Guerra, Junior",448855,2018,610
"Morton, Charlie",450203,2018,695
"Scherzer, Max",453286,2018,866
"Bailey, Homer",456701,2018,494
"Gonzalez, Gio",461829,2018,746
"Estrada, Marco",462136,2018,627
"Nova, Iván",467100,2018,683
"Carrasco, Carlos",471911,2018,784
"Kershaw, Clayton",477132,2018,649
"Cashner, Andrew",488768,2018,681
"Quintana, Jose",500779,2018,739
"Archer, Chris",502042,2018,638
"Anderson, Chase",502624,2018,644
"Holland, Derek",502706,2018,727
"Bumgarner, Madison",518516,2018,551
"Moore, Matt",519043,2018,471
"Zimmermann, Jordan",519455,2018,556
"Teheran, Julio",527054,2018,724
"Cole, Gerrit",543037,2018,799
"DeSclafani, Anthony",543101,2018,484
"Eovaldi, Nathan",543135,2018,455
"Odorizzi, Jake",543606,2018,711
"Roark, Tanner",543699,2018,760
"Strasburg, Stephen",544931,2018,544
"Ureña, José",570632,2018,712
"Boyd, Matthew",571510,2018,709
"Fiers, Mike",571666,2018,714
"Heaney, Andrew",571760,2018,749
"Mikolas, Miles",571945,2018,808
"Paxton, James",572020,2018,645
"Keuchel, Dallas",572971,2018,874
"Straily, Dan",573185,2018,518
"Stroman, Marcus",573186,2018,449
"Covey, Dylan",592229,2018,541
"Gausman, Kevin",592332,2018,776
"Gray, Jon",592351,2018,742
"Ray, Robbie",592662,2018,526
"Taillon, Jameson",592791,2018,785
"Williams, Trevor",592866,2018,701
"Martinez, Carlos",593372,2018,521
"Rodriguez, Eduardo",593958,2018,553
"deGrom, Jacob",594798,2018,835
"Weaver, Luke",596133,2018,609
"Pivetta, Nick",601713,2018,694
"Bundy, Dylan",605164,2018,750
"Clevinger, Mike",605182,2018,809
"Hess, David",605276,2018,454
"Nola, Aaron",605400,2018,831
"Rodón, Carlos",607074,2018,510
"Gant, John",607231,2018,487
"Freeland, Kyle",607536,2018,844
"Giolito, Lucas",608337,2018,775
"Stratton, Chris",608717,2018,625
"Suter, Brent",608718,2018,424
"Buehler, Walker",621111,2018,541
"Berríos, José",621244,2018,797
"Castillo, Luis",622491,2018,708
"López, Reynaldo",625643,2018,799
"Lauer, Eric",641778,2018,504
"Yarbrough, Ryan",642232,2018,628
"Barria, Jaime",642545,2018,537
"Flaherty, Jack",656427,2018,615
"Newcomb, Sean",656794,2018,696
"Lucchesi, Joey",664192,2018,548
"Bieber, Shane",669456,2018,485
"Richards, Trevor",670950,2018,547
"Wainwright, Adam",425794,2019,745
"Verlander, Justin",434378,2019,847
"Sánchez, Aníbal",434671,2019,712
"Morton, Charlie",450203,2019,790
"Vargas, Jason",450306,2019,649
"Scherzer, Max",453286,2019,693
"Bailey, Homer",456701,2019,696
"Nova, Iván",467100,2019,806
"Anderson, Brett",474463,2019,743
"Kershaw, Clayton",477132,2019,706
"Cashner, Andrew",488768,2019,636
"Quintana, Jose",500779,2019,745
"Archer, Chris",502042,2019,526
"Samardzija, Jeff",502188,2019,740
"Anderson, Chase",502624,2019,592
"Bumgarner, Madison",518516,2019,844
"Kelly, Merrill",518876,2019,777
"Pomeranz, Drew",519141,2019,455
"Zimmermann, Jordan",519455,2019,504
"Pérez, Martín",527048,2019,737
"Teheran, Julio",527054,2019,754
"Cole, Gerrit",543037,2019,817
"DeSclafani, Anthony",543101,2019,696
"Milone, Tommy",543548,2019,453
"Odorizzi, Jake",543606,2019,658
"Roark, Tanner",543699,2019,722
"Strasburg, Stephen",544931,2019,841
"Ryu, Hyun Jin",547943,2019,723
"Boyd, Matthew",571510,2019,788
"Fiers, Mike",571666,2019,754
"Mikolas, Miles",571945,2019,764
"Paxton, James",572020,2019,633
"Keuchel, Dallas",572971,2019,487
"Stroman, Marcus",573186,2019,774
"Kikuchi, Yusei",579328,2019,721
"Gausman, Kevin",592332,2019,451
"Gray, Jon",592351,2019,637
"Plutko, Adam",592644,2019,462
"Ray, Robbie",592662,2019,747
"Smith, Caleb",592761,2019,646
"Williams, Trevor",592866,2019,636
"Germán, Domingo",593334,2019,594
"Rodriguez, Eduardo",593958,2019,859
"deGrom, Jacob",594798,2019,804
"Beede, Tyler",595881,2019,523
"Bassitt, Chris",605135,2019,612
"Brooks, Aaron",605156,2019,482
"Bundy, Dylan",605164,2019,700
"Clevinger, Mike",605182,2019,499
"López, Jorge",605347,2019,548
"Nola, Aaron",605400,2019,852
"Woodruff, Brandon",605540,2019,493
"Freeland, Kyle",607536,2019,472
"Fried, Max",608331,2019,702
"Giolito, Lucas",608337,2019,705
"Wacha, Michael",608379,2019,561
"Buehler, Walker",621111,2019,737
"Berríos, José",621244,2019,842
"Castillo, Luis",622491,2019,780
"López, Reynaldo",625643,2019,809
"Hudson, Dakota",641712,2019,757
"Lauer, Eric",641778,2019,651
"Sparkman, Glenn",642098,2019,606
"Yarbrough, Ryan",642232,2019,563
"Soroka, Michael",647336,2019,701
"Beeks, Jalen",656222,2019,464
"Flaherty, Jack",656427,2019,772
"Thornton, Trent",663423,2019,676
"Paddack, Chris",663978,2019,568
"Lucchesi, Joey",664192,2019,686
"Bieber, Shane",669456,2019,859
"Richards, Trevor",670950,2019,580
"Wainwright, Adam",425794,2021,828
"Hill, Rich",448179,2021,661
"Morton, Charlie",450203,2021,756
"Scherzer, Max",453286,2021,693
"Cueto, Johnny",456501,2021,490
"Kershaw, Clayton",477132,2021,488
"Bumgarner, Madison",518516,2021,613
"Kelly, Merrill",518876,2021,667
"Pérez, Martín",527048,2021,509
"Cole, Gerrit",543037,2021,726
"DeSclafani, Anthony",543101,2021,676
"Eovaldi, Nathan",543135,2021,764
"Odorizzi, Jake",543606,2021,441
"Kim, Kwang Hyun",547942,2021,452
"Ryu, Hyun Jin",547943,2021,701
"Ureña, José",570632,2021,456
"Heaney, Andrew",571760,2021,558
"Richards, Garrett",572070,2021,617
"Keuchel, Dallas",572971,2021,720
"Stroman, Marcus",573186,2021,729
"Kikuchi, Yusei",579328,2021,666
"Gausman, Kevin",592332,2021,775
"Gray, Jon",592351,2021,644
"Ray, Robbie",592662,2021,773
"Smith, Caleb",592761,2021,500
"Taillon, Jameson",592791,2021,603
"Rodriguez, Eduardo",593958,2021,675
"Pivetta, Nick",601713,2021,661
"Bassitt, Chris",605135,2021,637
"López, Jorge",605347,2021,555
"Nola, Aaron",605400,2021,749
"Ross, Joe",605452,2021,460
"Woodruff, Brandon",605540,2021,708
"Rodón, Carlos",607074,2021,534
"Gant, John",607231,2021,491
"Freeland, Kyle",607536,2021,515
"Fried, Max",608331,2021,667
"Giolito, Lucas",608337,2021,719
"Irvin, Cole",608344,2021,768
"Wacha, Michael",608379,2021,528
"Buehler, Walker",621111,2021,815
"Mills, Alec",621219,2021,517
"Berríos, José",621244,2021,781
"Hearn, Taylor",621368,2021,441
"Castillo, Luis",622491,2021,803
"Urías, Julio",628711,2021,745
"Crowe, Wil",640444,2021,524
"Lauer, Eric",641778,2021,489
"Yarbrough, Ryan",642232,2021,653
"Peralta, Freddy",642547,2021,580
"Keller, Mitch",656605,2021,470
"Ohtani, Shohei",660271,2021,533
"Allard, Kolby",663465,2021,534
"McKenzie, Triston",663474,2021,495
"Mize, Casey",663554,2021,612
"Singer, Brady",663903,2021,586
"Paddack, Chris",663978,2021,459
"Anderson, Ian",666120,2021,535
"Gallen, Zac",668678,2021,523
"Burnes, Corbin",669203,2021,657
"Garcia, Luis",677651,2021,633
"Wainwright, Adam",425794,2022,803
"Verlander, Justin",434378,2022,666
"Kluber, Corey",446372,2022,689
"Hill, Rich",448179,2022,526
"Morton, Charlie",450203,2022,728
"Scherzer, Max",453286,2022,565
"Cueto, Johnny",456501,2022,651
"Carrasco, Carlos",471911,2022,645
"Kershaw, Clayton",477132,2022,493
"Quintana, Jose",500779,2022,679
"Archer, Chris",502042,2022,437
"Bumgarner, Madison",518516,2022,698
"Kelly, Merrill",518876,2022,804
"Pérez, Martín",527048,2022,821
"Cole, Gerrit",543037,2022,793
"Eovaldi, Nathan",543135,2022,460
